lemmatized,Sentiment
screen touch interface function time particularly select file caller tune reach screen frame touch arrow left hand corner selfie camera clean finger waste time device function properly day,Neutral
plz don t buy nord 2 5 g s completely waste camera battery fingerprint app calculator app goodcamera good app bad main thing calculator bad battery backup good night view camera take time capture picture 2 mp camera compare mobile iqoo good camera battery backup,Neutral
s truely flagship killer phone 3 day use s good charger fast mention battety pack good value money segment phone long term user phone think phone user t use android phone 1 plus,Positive
fingerprint sensor annoy like display scanner 7 10 ui good business 10 10 camera 9 10 produce real color fast clickbattery last day 8 10 charge 11 10 charge 30 min 65 w charger worth hype feeling hand 10 10 look premium handy daily usagedisplay 8 10 good range mi 11 x well display,Positive
hi friend have mi phone different mi phone yearsthis year try oneplus experience oneplus good s have extremely low battery life half day multiple chargingthough charge fast need carry heavy bulky charger time,Neutral
choose oneplus nord 2 poco f 3 get 25 k price poco f 3 gt cc discount bored miui constanty 3 year switch oxygen os clean android experience camera quality good oxygen os smooth feature miui ad bloatware 65 w charge 30 min good sound quality,Positive
finger print doesn t lock screen battery drain end day normal use rear camera good camera expectation speaker good give surround sound,Positive
camera quality fingerprint reader quick charge look good don t hesitate grab disappoint,Negative
way listen oneplus big brand don t think s like s big s normal rest 20 k 25 k phone s well buy phone brand oneplus company get popular bad product situation oneplus 1 st ly big mistake nord phone feature oneplus know s overall low rating phone think s,Neutral
bug impressionpro charge 39 minutesgood displaygood speaker mic quality goodpremium desginois vedio stability goodcon camera need huge improvement macro camera pay 35 k,Neutral
camera quality good battery life decent fast charge little bit heating issue randomly app,Neutral
2 5 g 10 11 21 35000,Neutral
burn like sun heat update blast,Neutral
poor phone good phone bad phone buy phone 50 megapixel camera win t suggest don t buy phone phone camera quality bad think ok megapixel camera beta s 50 megapixel camera company cheat,Negative
touch work properly camera quality poor phone lot issue 1 touch censer 2 normal android phone update 3 camera quality 4 worth money 5 battery problem 6 history show property bad experience phone lose money,Negative
software issue app close automatically hang doesn t feel like s 8 gb ram slow processor ram camera okay great worth price,Positive
phone good priority clean ui camera way well previous nord bettery backup goood 65 w fast chargee charge phone 0 100 20 30 minute unnecessary permission appear oppofication glimpse color os main purpose game poco camera oppo reno well camera nord 2 don t clean ui priority,Positive
display fingerprint sensor good fast response battery life impressive charge phone 24 hrs ago 45 battery left camera quality don t use bug like gallery app google phtot app read folder contain picture 1 2 day applock work time reason 1 reduced 1 star heating issue,Positive
battery backup disappointed glitch camera able menemize iti disappointed oneplus adaptor work ista stock 4 month hell don t knowthey provide adaptor charge phone poor service oneplus buy oneplus device life,Negative
30 battery mobile start heat lot normal usage game heating issue start color accurate camera shot amole screen color great compare 18000 phone overall experience mobile bad,Negative
3 rd oneplus mobile shop month green wood good option want buy 12 256 addition look awesome buy mobile friend love comment feature oneplus rock,Positive
phone fine time screen freeze phone service centre 3 time fault rectify start phone hope work fault sure plus certainly downgrade quality pity,Neutral
3 incident plus nord 2 blast inside pocket recent 3 rd degree burn need skin graft nord user like news inform decision read incident decide,Neutral
write review continously usage 4 5 hour good impression impressive pretty job term hold experience feel premium display decent 90 hz work fine daily life charging superfast camera great consistent bad phone heat little come wifi 6 connect 5 ghz router fix update,Positive
overall good product week rear camera performance awesome camera upto mark good selfie camera need hour phone lack capability lot cheap phone offer bttr selfie camera device display performance refresh rate awesome battery life good need charge day average user fast charging good thing overall great buy selfie lover,Positive
phone speaker bad play music movie speaker loud quality speaker panel vibrate t hold phone watch movie not pocket list music vibrate like chaina local speaker observe heating issue update heating issue camera bad 16 mp camara far well buy 35 k phone feel like premium phone disspointed,Negative
oneplus good mobile apple purchase nord 2 sister word express s awesome elegant mobile oneplus 5 5 year oneplus simply good overall,Positive
good product range run smoothly hear blast plus nord little nervous m fearlessly,Neutral
buy phone dad enjoy receive great packaging camera great thing consider like perfect phone price,Positive
pro good phone budget early plus come fine processor camera display dual speaker connectivity gaming cool con price brand ok budget recently compare phone plus base variant available bad scenario colour available,Neutral
stop charge month send service centre week not bother reply s happen 30 k phone joke dear plus not dream apple not build basic,Neutral
good phone decent camera charging good phone charge fast use charge speed want slow charge phone battery backup good overall satisfied phone s good phone cost amazon need improve packaging package good,Positive
start play game 15 20 min screen backside get overheat t hold mobile stop play t touch screen you thing pretty good heating big issue m face,Positive
happy 1 6 t phone bas retarded software slow hell contact vanish screen vanishe home screen auto erase widget screen annoying,Negative
purchase 20 k worth phone worth spend 30 k amazing exchange oppo 5 5500 look feel super cool light weight small disaapointment head phone jack use bluetooth headset manage converter super fast charge super camera quality high zoom small pimple pigmentation visible,Positive
m phone month want thing 1 warp charger awesome 2 battery life average m heavy user till battery drain 10 8 pm 3 main camera good video quality good 4 selfie camera good 4 k record available 5 phone heat play game feel hot 6 screen quality good 7 performance good good processor,Positive
lot bug inside device plus company give good service bring software update user phone new phone launch plus nord 2 buy exchange old device seriously literally make fool people cheat use waste money product lot bug application crash 5 day buy phone audience suggest phone personal experience,Negative
write review 2 day 90 hz camera good thing update bokeh flare portrait feature camera get well well bgmi play smooth extremeand ultra rest upto hdr warp charge fast job 32 min display fingerprint good take sec battery life well fast charging compensate camera quality exceed expectation,Positive
feel heating issue smart phone 2 hour youtube video play phone temperature go 49 celsius 30 battery drain heat phone start hang problem hold phone hand video play feel like go explode time phone pocket feel warm visit oneplus service centre oneplus technician tell 48 49 celsius temperature normal don t waist money batter option,Neutral
worth 30 k,Neutral
doubt s great phone camera quality good specially photoe night time good fingerprint reader good fast sound quality great look headphone jack headphone jack like oneplus nord 4500 mah battery good oneday heavy phone user 6 7 hour 65 w charger good thing consider charge phone take 20 30 min charge,Positive
yes mobile good experience os good notice performance old moble expect battery life mark mono camera bad premium look mobile give disine think mobile use round coustomer experience exlent,Positive
rate phone low intrusive ridiculous permission approach plus app like camera recorder start don t phone permission deny permission certain feature disable deny run app give rating 0 approach customer intrusion unfortunately amazon,Negative
beautiful phone wonderful performance notch quality speed rear camera nice camera great okay okay give u oppo vivo vibe u turn cam battery drain quickly charge super fast 0 100 33 minute performance wise 4 5 battery 2 5 5 camera 3 5 5 processor 4 5 design display 5 5,Positive
6 day use camera quality awesome playing game like battleground unreal framerate high resolution graphic kind lag main thing blow away charge speed gets charge fully drain half hour charge leave time charge battery life good go day half hour charge ll update come,Positive
awesome phone presently till read lot review mobile especially negative comment finally purchase iam normal user heavy like freefire game review point battery backup good include gaming charge easily 1 5 day normal use phone smooth performance good good bad con google dialer improve suggest buy phone premium look performance,Positive
prosdecent performanceexcellent photographysoftware experience bestsuperfast 65 w chargingconsmono sensor usefulscreen brightness betterlow light photography need improvement,Neutral
1 month write review excellent term feature battery backup amazing fast charging give 0 tension battery run selfie camera bit average good rear camera awesome aspect good smooth daily experience use include scroll call whatsapp bit heavy app build quality good comfy easily price range,Positive
s app facebook nd etc dual clone app work nd plz don t buy need update nord 2 system review 2 day usage go service center problem solve,Negative
month far good nk issue didn t like display finger print time ditect properly annoy heating issue memory fast colour nice audio jack miss lack time wireless convincing,Neutral
50 mp camera good 8 mp good 2 mp ridiculousbattery drain fastbut thank 65 w warp charger charge quickdesign goodbut frame plasticoxygen ui bestbut colour os mixed make thing worst,Positive
product good 20 day delivery product operate okay time listen music volume button press incease volume device swittche automatically aslo incoming time device switch 2 time visit authorized service center time center close software upgradation process buy product face big trouble till time issue resolve product good short time device find problematic,Positive
camera quality upto mark s bad mi selfie camera rear camera quality well major drawback bad battery life satisfied,Negative
heating issue phone mi heating issue hang t play pubg game s hang start button open main menu,Neutral
sensor work 5 day use phone automatically shut get open replace new show finger print sensor issue return product don t buy nord 2 recommend phone integrate colour os big disadvantage,Neutral
30 day phone start hanging lag app open end video play stillhear application open,Negative
charge cable miss box seal boxwhile charge heat issue mean heat feel today 4 8 2021 1 charge 15 100 time 33 min 2 heat issue play pubg s 433 battery backup issue s drain fastly u need charge 4 5 time heavy usage 4 performance ok 5 read mode available 6 protect good 7 heat issuepro 1 network speed good 4 g 2 camera okay,Positive
pro night mode charge speed performance display good justify 30 k price segment useless pre instal app clean ui lag 3 month use haptic awesome alert slider usefull con heating issue software need improve specific task daily task s awesome price 30 k display well touch sampling rate 180 low 30 k phone couldn t feel daily use,Positive
camera good satisfied m heavy gamer multimedia consumer phone job negative feel phone bit bulky heavy,Neutral
cons battery mark heavy user charge usual camera upto mark compare phone budget screen refresh rate 120 hz finger print reader work time con phone good buy,Neutral
pro 1 primary camera awesome 2 sound terrific 3 day day usage pretty good s power dimensity 1200 ai 4 ai power camera optimization 5 65 w super fast chargingcon 1 battery well 2 telephoto lens add 3 metal framing instead plastic 4 center punch hole camera look beautiful punch hole,Positive
bad battery drain fast carry charger,Negative
feel quality performance unbeatable s iphone smile true performance speed ai manufacture india s s rate cheap iphone,Neutral
30 30 40,Neutral
cam bad m expect high performance s good range u habit buy product consider brand value u stop consider plus,Negative
display crisp vibrantcamera exceed expectation rear camera flagship levelbattery pretty good 7 hour screen time normal usagewarp charger blow mind 30 min chargeoverall exceptional phone,Positive
oneplus nord 2 didn t touch expectation software bad buy phone smooth experience onplus oxygen os getting hang 30 k phone dimensity 1200 ai processor 8 gb ram 128 gb rom late phone bring recently 5 day story like s get hang slow performance don t buy product amazon beacuse tell promise agreement like return policy advertising,Neutral
wait 3 month well specification equally concerned fast processor powerful battery 12 gb ram 256 gb rom good camera fast charger ace good speaker long waiting fruitful get satisfaction phone 15 day face issue thing miss audio jack overall nice phone,Positive
frist priority camera plz not cheap camera quality phone phone look awesome compare phone mi realme s camera well cheap camera phone camera v kharab h sirf bewakuf banate h customer ko ki sony ka sensor h samsung ka sensor h ghatiya,Positive
overall satisfied product normal usage heating issue phone go explode batter backup poor restart device cool fix issue come update update review problem solve,Neutral
intially week phone work properly work automatically gets switch stay long time restart feel like phone person get depend mood disappointed warranty service show amazon support warranty service warranty period 1 year look help,Positive
overall good product need phone good battery life like don t battery drain use expect plus hope update come thing improve overall 3 5 5,Positive
hardware spec awesome shift oneplus 6 t nord 2 feel bit bulky phone dialer app google announce call auto record prefer old oneplus phone dialer able load rest work fine flagship killer,Positive
say blast heat dump m month heat usage small warm get charge have fast charging capability great product nice feature great look want oneplus don t mind money buy 12 gb variant,Positive
phone good quality doubtful phone display break fall nearly 3 foot warranty doesn t cover physical damage pay 8432 new display,Negative
usually don t write review time highly disappointed plus nord 2 undue hype create phone plus 6 3 year issue phone till give premium phone feel come nord 2 s premium s oppo phone worth 15 17 k branding plus speaker like cheap chinese phone happy purchase,Positive
finger print reader pathetic camera lag come colored line picture like old tv app close s multiple time excessive drop issue s wi fi call pathetic wifi connectivity compromise heavy battery end charge twice day case old oneplus device poor customer service,Negative
camera 5 5 sound 5 5 screen 5 5 handle 5 5 worth 30 k settle,Neutral
camera result colour disappointing colour look unrealistic software doesn t process selfie photo software integrate new mediatek processor upgrade phone feel premium hand,Negative
expect well camera especially camera horrible camera good well little lag free experience update fix camera slight lag website overall phone good fast charge good battery life clear signal reception display good slightly white washed oneplus 7 phone well,Positive
nord 2 2 month feel issue like hang battery draining application like instagram little tough use unable post video phone awesome specially speed camera,Positive
fully satisfy product receive love disappointed delay delivery prime customer purchase prime membership product deliver time satety measure poor packaging amazon afterall purchase costly mobile s packige shuld good safeguard phone 4 phone 1 disappointment amazon,Negative
consider price point view phone disappoint performance camera selfie camera horrible ram management 6 gb variant upto mark app restart leave idle point thing heating minimal t deny fact apart didn t find major flaw like ui clean smooth good display,Negative
good phone plus price range purchase phone gift wife love thank lot amazon finger print reader fast battery life good camera quality good compare phone price range look premium phone budget good feature,Positive
well life disappoint application automatically close 5 second issue face open whatsapp think face manufacturing defect,Negative
well nord series 8 256 available 2 k price going to well price feel 1 k price varient,Neutral
great phonewith good build qualitygood camera qualityno heating issuefast charge,Positive
buy model 26 07 2021 12 gb ram 256 gb rom overall phone good expect battery backup,Neutral
buy phone day sale phone bring value oneplus day purchase like phone masterpiece display camera look wise hand feel battery charge aspect perfect buy phone hesitation thinking twice get update battery drain bit soon oneplus resolve rest fine,Positive
good 30 k oneplus nord 2 main processor 8 gb ram k fingerprint reader normal 128 storage normal battery drain fastely use normal brightness 15 20 min use drain fast resolve issue kindly camera quality good flashlight going give earphone option comparison 1 ce 7 7 t 8 8 t 9 good overall performance good 10 star 8,Positive
good phone daily usage fast good memory good camera battry last s mediatek processor good point charge fully 30 min thank fast box charger ui good plus phone feel sturdy premium overall good package,Positive
phone good price battery improve update 6 hour screen time average rest camera good well ok price charging super fast let month feel price range 30 k good phone invest money u well option,Positive
phone headphone jack essential day day use wireless headphone available camera selfie lot well poor quality image camera rear camera good screen quality awesome amole screen 90 hz doesn t hurt color important charge quickly sure battery doesn t 20 plug 30 min charge 100,Positive
issue like application auto restart youtube whatsapp inbuilt dual app work use gmail account play store stop work recorder notification record important t transfer datum application android phone amazon return return replace policy suggest don t buy,Neutral
unbox moble switch randomly high volume beacuse unable receive raise return refund claim option retune replacement easy claim amazon support team initally fool say troubleshoot technician resolve issue produce copy technician feedback agree replacement return disappointed trust purchase amazon,Neutral
goal oneplus sell product s responsibility end device gets damage get fast quick service imagination negligible service center compare number device sell exist service center t serve go construction tell patna service center repair request service offer website slow,Negative
amazing phone s come feel good factor feel good hand great display come amole 90 hz refresh rate superb mediatek dimensity 1200 ai processor give high end performance camera fantastic 65 w warp charger take 40 45 minute fully charge phone thing phone day charge,Positive
thing don t like phone google dialer google dialer force video call google duo win t able direct jio jio video call default dialer new change oxygen os revert,Positive
software break especially oppo integration bug context switch oneplus long time try simple thing enable dual app whatsapp new nord 2 phone go setting app management app cloner lol app choose description app cloner,Neutral
early model excellent present model reach customer satisfaction s good experience,Positive
mobile beast perfect camera quality stunning night mode awesome phone gets charge 20 min 0 100 slim good look buy,Positive
phone amazing flaw main issue bother face camera bad look like 10 k phone image expect price range rest phone absolutely amazing,Positive
camera good pixel 4 5 dimensity 1200 well sd 865 reach max temp 43 c 3 hour pubg charge time bloody fast last long screen brightness bit low outdoors manageable sound superb,Positive
bad phone dien work properly time reset screen automatically flash button work properly box seal charger available complaint register time bad decision buy mobile worth hang problem screen mobile respond properly m retune product,Negative
love bit phone negative view integration oxygen os colour os camera amazing especially video night mode charging fast noticeable heating charge screen quality good get 2 update far camera stabibily system stability security patch good product love blue colour,Positive
pretty good smartphone price good camera price range con 8 notice battery life mark 5 hr sot typical daily usageoxygen os new version jitter inconsistency hope future update sort problem overall good smartphone price bracket especially look amazing camera,Positive
go nord 2 marvelous fantastic phone s good phone normal usage feel personally face heating issue play pub g game big find watch video youtube video getting freeze forwarded 10 sec mean video getting continue s support 2160 hrd video youtube disappointed issue,Positive
camera quality previous mobile oneplus 5 t well nord 2 totally copy oppo verry disappoint recomend don t know happen oneplus s quality oneplus tag original rest entire thing like oppo,Neutral
phone get heated video camera photo video network zone surf net 30 40 min camera quality good compare brand low range auto recorder facility available available brand mi battery last 1 day stay network zone nominal inernet surf,Neutral
buy phone 5 month ago ve service center twice hang problem start hang week service rest formet phone everytime datum gets lose don t care reset tbe phone solution suggest buy phone,Neutral
overall s good device camera superb battery life decent 1 st experience oxygen os experience good great hear oxygen os probably integration color os clone app phone setting clone app s show storage app close automatically have widevine l 1 s show 0 46 gb hour good quality prime video,Positive
amole display amazing 90 hz feels smooth optimize charge speed blazingly fast battery backup pretty decent day single charge normal usage complain camera awesome specially night mode video super smooth sound quality omg mini stereo home theatre crispy clear loud overall value money oneplus truely satisfied,Positive
s good fingerprint reader work fine till camera quality good phone doesn t 3 5 mm jack connect earphone need buy connector c type headphone seperately want buy wireless headphone like,Positive
bad picture quality difference colour relly disappointed standard plus like return phone want refund,Negative
finger print awesome battery good yesterday charge phone 75 battery life m heavy user m normal user camera good day shot night shot come good,Positive
bad phone purchase online plz avoid purchase phone amazon sell deffective phone recieve phone second day start create problem,Negative
review pro conspro 1 amole screen good 2 sound speaker great 3 rear camera awesome 4 processor goodcon 1 camera okk 2 headphone jack 3 5 mm 3 cast function available tvoverall good phone 30 k range good,Positive
battery last heavy use sure use official plus charger come loss battery optimization camera quality especially wide angle good worth money,Neutral
buy blue colour 8 128 mom green colour 12 256 blue 8 128 high quality glass scratch resistant expensive green 12 256 plastic fake leather super scratch prone,Neutral
m write review 20 day don t trap plus branding phone heat like fry pan 10 min use bad selfie see like 7000 mobile phone don t fool 32 mp camera battery drain bad don t fall 65 watt scam lose 30000 hate plus return policy amazon plz fool pay youtuber plus,Negative
phone look feel sturdy performance great love ui oxygen os battery performance great sound system good don t use bt speaker anymore good love charge speed test completely drain battery switch keep timer reach 100 take exactly 29 min completely chargein good phone price,Positive
phone look great s heavy handy fingerprint sensor good need press long time battery last 10 12 hour continue usage like u watch video stuff 65 w charge capacity hardly take 20 min charge picture quality amazing phone past 1 week heating issue till worth buy phone,Positive
overal phone good display pathetic slowly fall minor height 2 ft screen break away mention gorilla glass don t think provide screen protection careful screen protection,Neutral
recorder utter joke nord 2 record voice person s purpose recorder pathetic phone buy plus nord 2 go buy plus mobile,Neutral
write review month purchase want camera centric phone yes satisfied camera performance ultra wide well give price con issue battery life drain easily issue constant user,Positive
fingerprint reader good battery life nice charger include charge like 20 min camera quality good pick minor detail display amazing handle multitaske nicely heat processor excellent want,Positive
pro good camera good performance well charge 65 watt good design look specially blue haze butter smooth oxygen oscon battery optimization well hope solve update conclusion overall beast smartphone 30 k doubt,Positive
ve device 5 day problem don t worry bug fix update u wouldn t notice amazon prime netflix camerabug fix battery backup little fast charge helpful compensate battery backup good mobile overall performance good,Neutral
thing phone like 1 bad battery life dude 4500 5000 need 2 blink light notification 3 3 5 mm jack 4 post reboot phone u don t unlock phone notification,Negative
1 earphone detection problem 2 mediatek processor capable multitaske 3 camera appreciable say ai technology 4 mood add,Negative
s 2 nd oneplus delighted love experience s ask,Positive
ve have amazing expreience phone untill encounter scratch screen despite fact gorilla glass feel disappointed ve encounter scratch cheap samsung phones n ve tampered glass battery life poor heavy usage not 6 hrs save 65 watt charger con battery life poor screen quality,Neutral
oneplus mobile phone little skeptical purchase mobile actually stand expectation camera quality awesome fingerprint reader pretty slow indisplay,Neutral
io user decade switch nord big deal pretty amazed performance build quality hope stay way time overall good experience,Positive
ve give 120 hz display atleast price point 90 hz feel laggy phone 144 hz refresh rate rear camera quality good camera average battery backup ok,Neutral
read negative review people spread rumour heating phone 2 week issue find till battery charge take nearly 30 40 min awesome camera feel glowy photo realistic overall s goodrunne phone like maska,Positive
camera functioning fine phone lack lot feature previous 4 year old oppo phone gallery not video folder clean feature raise answer feature screen mirroring well previous phone require humongous update son nord 1 feature not buy device glitch normal day day use,Neutral
plus 3 t 5 6 t 7 headphns oneplus hd bad experience tym order 8 gb 128 rom clone datum 33 gb 128 gb phn hang start blink application work display screen visit service team plus hve d prblm bad experience disappointing,Negative
nord 2 month performance smooth function camera quality charge 15 20 min charge phone use upto 1 1 2 day well 35 k usage camera long time heavy app usage direct sun contact lead increase temp phone actually issue smartphone avoid rest thing fine,Neutral
nord 2 mobile oneplus seriously look build quality awesome buy 8 128 gb lack feel refresh rate 90 hz smoothness camera m game liver don t know device perform playing game oneplus improve quality camera price range 4 k recording camera rest good,Positive
battery major problem drain fast device 10 th oct 21 2 day go start drain device 6 7 hrs find drop 40 50 doesn t worth buy u charge twice day problem friend nord 2 replacement refund continue 2 day new issue oneplus 8 t device,Negative
think phone good se segment come 1 brand renowned satisfied phone hang upto mark bhot hi honest review de raha hu phone ka camera jo maine main reason ki wjh se lia tha will bilkul hi bekar h itne paise b kharche camera ekdm raddi heating bht karta h maine kafi user se baat ki koi b completely satisfied ni hain phone se stop fool 1 paise barbaad bisi,Positive
buy phone month camera quality good phone good aspect battery life drain fast pay phone atleast battery life good phone heating problem,Positive
month phone start hang literally hard money waste month sit service center waste money travel,Negative
good quality phone u 30 k budget finger print sensor butter smooth camera awesome wide angle quality importantly charge character jst plug forget n u realise s completely issue gets hitte bit u r work camera long bit satisfaction guarantee wholesome package,Positive
phone good experience heating issue finger print fast battery backup good good fast charging 65 w charger 35 min get 100 charge battery 15 face unlock great well camera good great recommend buy phone feature like video enhancer option,Positive
totally waste money,Negative
phone hang opening whatsapp notification window screen hangs call wifi pathetic receiver able hear clearly 6 gb 6 t perform well 8 gb external speaker volume desire remove phone ear look screen need juggle live overall disappointed,Negative
dispointe review product 5 day samsung mobile far well oneplus nord 2 buy product look long battary day dispointed worst,Negative
phone show error type message come help appointment inspection inspection agent inspection guy come inspect application say service complete actually complete service,Neutral
experience nord 2 good especially charge facility take 35 40 min 0 100 percent good phone plus time buy plus phone fully satisfied plus,Positive
get phone 2 day far good phone charge 30 min ui good battery life ok drain quickly camera camera ok nice pic daylight update review,Positive
camera good clear clear pic don t money buy nord 2 take loan plz request collect phone money refund ano scratch box charger new condition sir,Positive
time purchase oneplus disappointed type phone oneplus try photo s show sd card error camera temporarily unavailable try backup file show internal storage find complaint get replacement get new phone switch show serial match fastboot unlock verify try charge s charge request refund,Negative
s disgusting face problem charge charge fast time take nearly 2 hour think pay 30 k rubbish product selfie camera work properly,Negative
write review usage week phone look pretty decent attractive interm look 65 w fast charging give great backup sceen display okay mark work smooth lag bad camera worth price tag camera somewhat okay primary secondary camera work like copy device got fool review give device social medium,Neutral
phone 1 month s easy handle camera work perfectly night photo awesome selfie improve adaptive night charge sure battery life increase option like adaptive slow charging feel like use good game s phone overall plus nord 2 great phone,Positive
fingerprint reader face lock amazing battery work efficiently camera quality fine say s camera quality weak google pixel 4 look camera quality pixel 4 s performance play game fabulous personally speak phone big handy believe feal luxurious use,Positive
bakwa phone h 30000 ki range selfi camera bakwa h 10000 rs wale phone bhi isse acchi selfi aati h aur macro camera na k barabr h heat bhi hota h nattery drainage fastly sirf display acchi h aur 5 g h jo abhi koi kaam ka nhi h,Neutral
15 day usage give review speed camera quality nice speaker superb fist 4 day mobile gets heat 35 minute battery fully get charge bug fix message app slow auto voice recorder app little concern person know record good purchase,Positive
good bad money vice expensive design good working nice,Positive
good phone osm experience oneplus change oxygen os s bit frame drop game game experience duty mobile design feel premium,Neutral
write review 15 day pro oxygen os warp charge body design performance pretty good refresh rate 120 90 work wellcon battery drain af suitable heavy user medium user 100 will not day camera good bad upto mark maybe color os spoil plus magic,Positive
like phone performance super fast charging good camara good new feature som feature add mean good present heating problem feature mean not phone look good,Positive
pro speed loading app transitionbattery life charge timeplacement volume buttonscameracon occasionally video hang youtube instagramface reader bit underwhelmingoneplus red doesn t worth itinbuilt 1 software hardly,Neutral
phone good geeen wood color texture blow away,Neutral
product good aspect butfor dual app possibly m face problem possiblity install multiple account parallel space negative point,Negative
like camera premium look feel phone excellent battery bad regular usage drain game multitaske minimal usage s case handset nord 2 con handsets warp charging good step s need drainage fast mean u charge fast 2 3 time day s point,Positive
comera poor make thing black color face dark lot bug mobile proximity sensor light sensor fast new processor fast old,Negative
week start face problem call drop automatically lot disturbance problem handset operator,Negative
device heat try play heavy game like genshin impact 60 fps device work fine look gaming device d suggest look casual bgmi mobile legend like game ll work fine camera awesome importantly fast charging complete beast think thing like,Positive
mx player youtube app mobile go slow state,Neutral
overheat problem m photo bikaner s true high place usually use cool room s temp go high t touch ear spend 30 k issue make unsatisfie battery get charge 1 hour use 1 day m face overheat problem want money,Negative
phone pretty awesome pick hand good like screen display hardware camera tge good speed like click like feel second good thing s battery 15 20 minute charge 65 watt warp charge boom s 80 percent sufficient day,Positive
good smartphone 30 k seriously notch not ignore phone hardware software camera battery charge speed par brand,Neutral
buy phone thinking great product follow point bad phone 1 camera poor camera quality 2 gui good mi well gui 3 vivo oppo phone feel like oppo close plus standard disappointed,Neutral
1 phone getting hang oftenlly simple internet surf 2 mike stop work call second automatically resume 3 camera functioning low quality show black blue screen half take picture show lining photo attach photo issue phone,Negative
hi teamnow 3 month use able phone hang get freeze mode time click feature take time action suggest careful evaluate buy disappointed,Neutral
pro fast charge cameracon process speed switching app average indisplay finger print scanner usualy slowi think price point 30 k oneplus think previous old oneplus phone like oneplus 3 t feel well,Neutral
phone good worth money u payingxiaomi phone bestprosgood primary camerafast charge work goodconsfront camera badphone hang sometimesnot fast phone range,Positive
move mi oneplus hardware definitely upgrade mi software bad issue software able figure lot unnecessary feature phone feature extremely irritate phone go dnd mode automatically car feel like throw phone away,Negative
nice look phn m 2 week bt 1 issue phn u video call streaming video phn heat time not know little disappointed bt overall camera battery duration nice,Positive
deal device 20 day baby get update device soon got update spite reboot switch switch charge notification pop plug charge oneplus service provider unable recognise issue service provider past 7 day october 2021 nord 2 publicity buy m regret,Negative
software problem mx player whatsapp gallery tube app notice 12 second app close automatically need reopen 12 second instal app update app download image error massage state storage need remove unused app purchase 128 gb internal storage 110 gb free storage hange problem,Negative
fan oneplus time buy oneplusrealy happy phone crash issue app find solution online uninstalle update google web view app playstore have issue try,Positive
battery life single day software require optimization fix great camera charge speed heat upto 41 42 c game average temperature phone glass body easily breakable use cover,Neutral
bad phone plus break trust bahot hang hota h phone play pubg screen lack ho rha hain not aisa lg rha h 2 gb ram vala phone use kr rha hu genuine review 2 month dnt buy total waste money,Negative
m nord 2 5 day overall experience great battery backup day normal user charge speed superb charge 40 min display great camera quality good camera nice indoor n outdoor photography rear camera strugle indoor photography outdoor photography s nice 3 5 mm jack available con overall value money,Positive
didn t see theese type battery performance 5 6 hrs come charge m fully charge m disappointed product bad product disappointed dial receive mobile battery drain 50 5 6 hour video time video audio run plus check variant amazon refund money,Negative
return product mobile come manufacturing defect call voice automatically stop cut call phone return check aspect amazon take refund,Negative
plus 5 t satisfied plus brand look nord 2 excellent phone great battery life heat manageable camera quality great highly recommend phone,Positive
camera quality good great battery drain fast 10 min continuous phone usage phone gets heat expect oneplus flagship,Positive
plus device love camera awesome battery life ok charger t tell fast minute s charge os display handy phone legit,Positive
phone improved haptic snappy ui experience well read flagship equivalent camera string ui update devil lie detail sort person serve,Positive
read blast news phone tried contact plus reply product mandatory quality check safe use unit blast scared use sell soon suggest buy quality product brand waste money,Negative
vmy plus nord 2 5 g mobile work properly tecnical issue like watch video listen music phone suddenly switch goneservice center kurla phoenix mall replace phone buy phone month ago month s possible phone go order kindly needful m tension replace phone,Neutral
fast work good mobile look awesome design mobile nice everybody mobile want well mobile range,Positive
20 day usage noticed oneplus nord 2 battery life bad 30 k range lost 4 5 hrs moderate usage don t look 1 day battery backup,Negative
happy purchase nord 2 5 g work short charge time 15 minute charge excellent picture quality fabulous overall performance,Positive
phone functiing satisfactory good camera quality selfi camera good main cameraone issue phone heat continuesly caoture photographsotherwise oke,Positive
day day usage find problem relate performance good thing phone camera primary lens pretty good shot find screen bit underwhelming brightness well casual gaming concern usually play bgmi 1 2 hour daily issue smooth extreme,Positive
start hang 15 day whrn hang able switch regular trying 30 45 minute happen frequently total waste money,Negative
bad wasn t allow review product till 1 5 month purchase avoid customer get right feedbackcamera quality highly poor image pixelate start zoom yes talk 1 5 x zoom ease use poornot worth money,Neutral
camera 5 5 battery backup 1 day 4 5 performance 4 5 5 gaming bgmi 4 75 5 special feature night mode camera op oxygeno obviously,Neutral
display bit crisp bright processor clean os thing phone stand device range surprisingly google cam phone give well result default cam phone battery decent,Neutral
good feature price point take 2 3 k give dolby surround sound oneplus 7 certainly notice cut oneplus bring price model oxygen os have color os influence oneplus enforce cpu throttling perfect package,Positive
edit 3 month usage performance phone dependable update app shut abruptly try click multiple pic time camera stop work camera hype picture quality average thing good phone battery performance charging screen touch,Neutral
google dialer sm app worst miss notification show open dialer selfie app good camera quality pathetic price take lot time delete file regret buy mobile proper wallpaper lockscreen theme,Negative
pro good camera quality complain gaming good con battery t day fine wrap charge good 5 10 min topup charge till bedtime hope blast,Positive
utterly disappointed get huge heating 2 minute screen operation 10 k phn heating 2 min s normal usage camera heatsup upto 85 egg fry omletdon t buy,Negative
okay good phone charge hot multitasking long use heat camera okay keep hang need restart everyday bad phone,Neutral
